drugname,routeadmin,count,generic_name,generic_route,antibiotic,intravenous_fluid,electrolytes,opioid_analgesic,anticoagulant,stress_ulcer_prophylaxis
1000 ML - SODIUM CHLORIDE 0.9 % IV SOLN,IV,30118,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,PO,26966,potassium chloride,oral product,0,0,1,0,0,0
SODIUM CHLORIDE 0.9 % IV : 1000 ML,IV,23899,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
NaCl 0.9% MBP,MISC,22657,sodium chloride 9 mg/ml,other,0,1,0,0,0,0
SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,20402,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
ZOFRAN,IV,19919,ondansetron,injectable product,0,0,0,0,0,0
ACETAMINOPHEN 325 MG PO TABS,PO,19777,acetaminophen,oral product,0,0,0,0,0,0
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,Intravenous,19716,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
NOVOLOG,subCUT,19156,insulin aspart,injectable product,0,0,0,0,0,0
ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IV Push,18748,ondansetron,injectable product,0,0,0,0,0,0
DEXTROSE 50%-WATER,INTRAVENOU,18298,glucose 500 mg/ml,injectable product,0,0,0,0,0,0
GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,17988,glucose,oral product,0,0,0,0,0,0
MAGNESIUM SULFATE 2 GM/50 ML IVPB,IVPB,17929,magnesium sulfate,injectable product,0,0,1,0,0,0
potassium CHLORIDE 20 mEq in,IVPB,17574,potassium chloride,injectable product,0,0,1,0,0,0
potassium CHLORIDE 20 MEQ TR TAB,PO,17451,potassium chloride,oral product,0,0,1,0,0,0
SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,17425,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
100 ML - POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,IV,16792,potassium chloride,injectable product,0,0,1,0,0,0
INSULIN-LISPRO (rDNA) *UNIT* INJ,SubQ,15295,insulin lispro,injectable product,0,0,0,0,0,0
acetaMINOPHEN 325 MG TAB,PO,14926,acetaminophen,oral product,0,0,0,0,0,0
POTASSIUM CHLORIDE 20 MEQ PO PACK,PER NG TUBE,14754,potassium chloride,oral product,0,0,1,0,0,0
PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,14745,pantoprazole,injectable product,0,0,0,0,0,1
PANTOPRAZOLE SODIUM 40 MG PO TBEC,PO,14618,pantoprazole,oral product,0,0,0,0,0,1
"Sodium Chloride 0.9% 1,000 ML BAG",IV,14508,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
LASIX,IV,14392,furosemide,injectable product,0,0,0,0,0,0
2 ML VIAL : ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,14288,ondansetron,injectable product,0,0,0,0,0,0
Dextrose 50%,IV,13564,glucose 500 mg/ml,injectable product,0,0,0,0,0,0
MORPHINE 2 MG/1 ML 1 ML SYR,IV Push,13528,morphine,injectable product,0,0,0,1,0,0
ACETAMINOPHEN,ORAL,13471,acetaminophen,oral product,0,0,0,0,0,0
ASPART insulin,MISC,13466,insulin aspart,injectable product,0,0,0,0,0,0
NARCAN,IV,12679,naloxone,injectable product,0,0,0,0,0,0
SUBLIMAZE,IV,12655,fentanyl,injectable product,0,0,0,1,0,0
PERCOCET 5/325 TAB,PO,12324,acetaminophen / oxycodone,oral product,0,0,0,1,0,0
SODIUM CHLORIDE 0.9 % IV SOLP,IV,12070,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,12048,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
fentaNYL citrate (PF),INTRAVENOU,11909,fentanyl,injectable product,0,0,0,1,0,0
3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,SC,11876,insulin lispro,injectable product,0,0,0,0,0,0
potassium chloride,PO,11846,potassium chloride,oral product,0,0,1,0,0,0
SODIUM CHLORIDE 0.9%,IV,11490,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
473 ML - CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,SWISH,11418,chlorhexidine gluconate,oral product,0,0,0,0,0,0
1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,IV,11268,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV Push,11228,fentanyl,injectable product,0,0,0,1,0,0
TYLENOL,Oral,11215,acetaminophen,oral product,0,0,0,0,0,0
GLUCAGON 1 MG (1 UNIT) INJ,SubQ,11169,glucagon,injectable product,0,0,0,0,0,0
50 ML SYRINGE : DEXTROSE 50 % IV SOLN,IV,10375,glucose 500 mg/ml,injectable product,0,0,0,0,0,0
METOPROLOL TARTRATE 25 MG PO TABS,PO,10361,metoprolol tartrate,oral product,0,0,0,0,0,0
fentaNYL,IV,10359,fentanyl,injectable product,0,0,0,1,0,0
MAGNESIUM SULF 2 G/50 ML NS,INTRAVENOU,10342,magnesium sulfate,injectable product,0,0,1,0,0,0
500 ML - SODIUM CHLORIDE 0.9 % IV SOLN,IV,10285,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
FUROSEMIDE,IV,10193,furosemide,injectable product,0,0,0,0,0,0
propofol,MISC,9869,propofol,injectable product,0,0,0,0,0,0
D50,IV,9823,glucose 500 mg/ml,injectable product,0,0,0,0,0,0
BISACODYL 10 MG RE SUPP,RE,9775,bisacodyl,rectal product,0,0,0,0,0,0
DEXTROSE 50% 25 GRAM/50 ML SYR,IV Push,9427,glucose 500 mg/ml,injectable product,0,0,0,0,0,0
ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,9247,ondansetron,injectable product,0,0,0,0,0,0
ACETAMINOPHEN,PO,9235,acetaminophen,oral product,0,0,0,0,0,0
DILAUDID,IV,9164,hydromorphone,injectable product,0,0,0,1,0,0
NITROGLYCERIN 0.4 MG SL SUBL,SL,9046,nitroglycerin,oral product,0,0,0,0,0,0
4 ML - FUROSEMIDE 10 MG/ML IJ SOLN,IV,9005,furosemide,injectable product,0,0,0,0,0,0
37.5 G TUBE : GLUCOSE 40 % PO GEL,PO,8944,glucose,oral product,0,0,0,0,0,0
MAGNESIUM OXIDE 400 MG TAB,PO,8833,magnesium oxide,oral product,0,0,1,0,0,0
ATIVAN,IV,8814,lorazepam,injectable product,0,0,0,0,0,0
DEXTROSE 50%,IV,8800,glucose 500 mg/ml,injectable product,0,0,0,0,0,0
LOVENOX,subCUT,8757,enoxaparin,injectable product,0,0,0,0,1,0
DUONEB,Inhalation,8706,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,inhalant product,0,0,0,0,0,0
INSULIN-GLARGINE *UNIT* INJ,SubQ,8686,insulin glargine,injectable product,0,0,0,0,0,0
MAGNESIUM SULFATE 2 G IN NS PREMIX,IV,8551,magnesium sulfate,injectable product,0,0,1,0,0,0
GLUCAGEN,IM,8449,glucagon,injectable product,0,0,0,0,0,0
SODIUM CHLORIDE 0.9% 250 ML LVP,IV,8342,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
1000 ML - DEXTROSE 5 % IV SOLN,IV,8315,glucose 50 mg/ml,injectable product,0,1,0,0,0,0
MORPHINE 4 MG/1 ML 1 ML SYR,IV Push,8207,morphine,injectable product,0,0,0,1,0,0
NORCO,Oral,8187,acetaminophen / hydrocodone,oral product,0,0,0,1,0,0
NSS infusion,IV,8108,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
Lasix,IV,8049,furosemide,injectable product,0,0,0,0,0,0
ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,IV,8010,ondansetron,injectable product,0,0,0,0,0,0
MORPHINE INJ,IV,7949,morphine,injectable product,0,0,0,1,0,0
SODIUM CHLORIDE 0.9% 1000 ML PB,IV,7895,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
potassium CHLORIDE 20 MEQ UD LIQ,PO,7840,potassium chloride,oral product,0,0,1,0,0,0
1 ML - HYDROMORPHONE HCL 1 MG/ML IJ SOLN,IV,7806,hydromorphone,injectable product,0,0,0,1,0,0
FUROSEMIDE,INTRAVENOU,7719,furosemide,injectable product,0,0,0,0,0,0
GLUCAGON HCL (RDNA) 1 MG IJ SOLR,IM,7652,glucagon,injectable product,0,0,0,0,0,0
2 ML - FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,7636,fentanyl,injectable product,0,0,0,1,0,0
3 ML - IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,7610,albuterol 0.833 mg/ml / ipratropium 0.167 mg/ml,inhalant product,0,0,0,0,0,0
SODIUM CHLORIDE 0.9%,INTRAVENOU,7603,sodium chloride 9 mg/ml,injectable product,0,1,0,0,0,0
SENOKOT-S TAB,PO,7590,senna,oral product,0,0,0,0,0,0
Zofran,IV,7582,ondansetron,injectable product,0,0,0,0,0,0
METOPROLOL TARTRATE 25 MG TAB,PO,7545,metoprolol tartrate,oral product,0,0,0,0,0,0
2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,Intravenous,7476,ondansetron,injectable product,0,0,0,0,0,0
HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,7441,acetaminophen / hydrocodone,oral product,0,0,0,1,0,0
100 ML - MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,IV,7367,magnesium sulfate,injectable product,0,0,1,0,0,0
