,hospitalid,drugname,routeadmin,count
0,73,1000 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IV,23080
1,420,DEXTROSE 50%-WATER,INTRAVENOU,18230
2,252,1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,Intravenous,12723
3,420,fentaNYL citrate (PF),INTRAVENOU,11716
4,73,POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,PO,11367
5,73,100 ML  -  POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,IV,10384
6,420,MAGNESIUM SULF 2 G/50 ML NS,INTRAVENOU,10152
7,73,POTASSIUM CHLORIDE 20 MEQ PO PACK,PER NG TUBE,9940
8,73,473 ML  -  CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,SWISH,9276
9,183,NaCl 0.9% MBP,MISC,8620
10,73,2 ML VIAL : ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,7836
11,73,500 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IV,7747
12,420,FUROSEMIDE,INTRAVENOU,7372
13,243,1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,7370
14,420,SODIUM CHLORIDE 0.9%,INTRAVENOU,7119
15,420,MIDAZOLAM,INTRAVENOU,6921
16,73,3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,SC,6919
17,183,Dextrose 50%,IV,6814
18,73,1000 ML  -  DEXTROSE 5 % IV SOLN,IV,6782
19,73,50 ML SYRINGE : DEXTROSE 50 % IV SOLN,IV,6764
20,338,SODIUM CHLORIDE 0.9 % IV : 1000 ML,IV,6556
21,411,SODIUM CHLORIDE 0.9 % IV SOLP,IV,6246
22,73,37.5 G TUBE : GLUCOSE 40 % PO GEL,PO,5999
23,338,NOVOLOG,subCUT,5952
24,264,SODIUM CHLORIDE 0.9%,IV,5919
25,73,4 ML  -  FUROSEMIDE 10 MG/ML IJ SOLN,IV,5885
26,420,OXYCODONE IR,ORAL,5876
27,300,SODIUM CHLORIDE 0.9 % IV : 1000 ML,IV,5825
28,420,INSULIN LISPRO,SUBCUTAN,5682
29,73,ACETAMINOPHEN 325 MG PO TABS,PO,5614
30,252,2 ML VIAL : FENTANYL CITRATE 0.05 MG/ML IJ SOLN,Intravenous,5598
31,281,"Sodium Chloride 0.9% 1,000 ML BAG",IV,5504
32,420,POTASSIUM CHLORIDE ER,ORAL,5436
33,181,NaCl 0.9% MBP,MISC,5285
34,420,ACETAMINOPHEN,ORAL,5168
35,243,SODIUM CHLORIDE 0.9 % IJ SOLN,IV,5051
36,443,SODIUM CHLORIDE 0.9 % IV BOLUS,IV,4999
37,73,NITROGLYCERIN 0.4 MG SL SUBL,SL,4984
38,420,"HEPARIN 5,000 UNIT/ML",SUBCUTAN,4971
39,413,SODIUM CHLORIDE 0.9 % IV SOLP,IV,4970
40,452,Sodium Chloride 0.9%  SSO,IV,4965
41,73,MAGNESIUM SULFATE 2 G IN NS PREMIX,IV,4927
42,73,2 ML  -  FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,4754
43,300,NOVOLOG,subCUT,4752
44,338,SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,4733
45,420,KCL 20 MEQ/50 ML,INTRAVENOU,4702
46,184,NaCl 0.9% MBP,MISC,4670
47,300,SUBLIMAZE,IV,4647
48,73,1 ML  -  HYDRALAZINE HCL 20 MG/ML IJ SOLN,IV,4543
49,73,BISACODYL 10 MG RE SUPP,RE,4539
50,199,NSS infusion,IV,4513
51,73,GLUCAGON HCL (RDNA) 1 MG IJ SOLR,IM,4507
52,167,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV Push,4471
53,243,INSULIN ASPART 100 UNIT/ML SC SOLN,SC,4417
54,73,100 ML  -  MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,IV,4396
55,73,MORPHINE INJ,IV,4343
56,73,METOPROLOL TARTRATE 25 MG PO TABS,PO,4296
57,73,1 ML  -  HYDROMORPHONE HCL 1 MG/ML IJ SOLN,IV,4257
58,420,ONDANSETRON,INTRAVENOU,4257
59,73,3 ML  -  IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,4232
60,183,ASPART insulin,MISC,4144
61,183,fentaNYL,IV,4141
62,420,DOCUSATE SODIUM,ORAL,4111
63,413,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,IV,4086
64,73,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,PO,4061
65,73,50 ML  -  ALBUMIN HUMAN 25 % IV SOLN,IV,4033
66,243,ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,4030
67,338,ZOFRAN,IV,4027
68,449,SODIUM CHLORIDE 0.9 % IV SOLN BOLUS,Intravenous,3957
69,420,INSULIN ASPART,SUBCUTAN,3895
70,458,SODIUM CHLORIDE 0.9%,INTRAVEN,3873
71,248,1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,Intravenous,3824
72,167,SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,3823
73,167,GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,3807
74,411,LACTATED RINGERS IV SOLP,IV,3794
75,420,ALBUTEROL CONCENTRATED 0.5%,INHALATION,3714
76,307,Sodium Chloride 0.9% FLUSH,DEVICE,3711
77,167,INSULIN-LISPRO (rDNA) *UNIT* INJ,SubQ,3705
78,264,ACETAMINOPHEN,ORAL,3700
79,420,DEXTROSE 5%-NACL 0.9%,INTRAVENOU,3691
80,413,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,IV,3680
81,416,sodium chloride infusion 0.9%,IV,3677
82,252,4 ML VIAL : FUROSEMIDE 10 MG/ML IJ SOLN,Intravenous,3672
83,73,1000 ML  -  LACTATED RINGERS IV SOLN,IV,3665
