,diagnosisstring,icd9code
0,neurologic|misc|headache,R51
1,neurologic|misc|myoclonus,"333.2, G25.3"
2,surgery|infections|sepsis,"038.9, A41.9"
3,neurologic|misc|neuropathy,
4,oncology|GI tumors|anal CA,"154.3, C18.0"
5,oncology|GI tumors|colon CA,"153.9, C18.9"
6,oncology|GI tumors|liver CA,
7,neurologic|seizures|seizures,"345.90, R56.9"
8,neurologic|trauma - CNS|coma,"780.01, R40.20"
9,pulmonary|trauma|lung trauma,"861.20, S27.30"
10,surgery|infections|pneumonia,"486, J18.9"
11,surgery|obstetrics|pregnancy,
12,oncology|GI tumors|gastric CA,"151.9, C16.9"
13,oncology|GU tumors|bladder CA,"188.9, C67.9"
14,oncology|GU tumors|ovarian CA,"183.0, C56.9"
15,oncology|GU tumors|uterine CA,"179, C55"
16,pulmonary|trauma|pneumothorax,860.0
17,surgery|infections|cellulitis,"682.9, L03.90"
18,surgery|renal issues|oliguria,"788.5, R34"
19,burns/trauma|burns|burn injury,946.0
20,burns/trauma|burns|burn of arm,
21,burns/trauma|burns|burn of leg,
22,burns/trauma|trauma - CNS|coma,"780.01, R40.20"
23,cardiovascular|arrhythmias|SVT,"427.0, I47.1"
24,oncology|GU tumors|cervical CA,"180.9, C53.9"
25,oncology|GU tumors|prostate CA,"185, C61"
26,pulmonary|trauma|airway trauma,
27,surgery|infections|peritonitis,"567.9, K65.0"
28,burns/trauma|burns|burn of lung,947.1
29,endocrine|thyroid|myxedema coma,"421.0, 996.61, E03.5"
30,endocrine|thyroid|thyroid storm,"242.91, E05.91"
31,general|other syndromes|syncope,"780.2, R55"
32,neurologic|misc|headache|severe,R51
33,oncology|CNS tumors|brain tumor,"191.9, C71.9"
34,oncology|chest tumors|breast CA,
35,surgery|infections|septic shock,"785.59, R65.21"
36,burns/trauma|burns|burn of trunk,
37,burns/trauma|burns|chemical burn,
38,endocrine|glucose metabolism|DKA,"250.13, E10.1"
39,endocrine|thyroid|hypothyroidism,"244.9, E03.9"
40,neurologic|trauma - CNS|seizures,"345.90, R56.1"
41,oncology|GI tumors|esophageal CA,"192.9, C15.9"
42,oncology|GI tumors|intestinal CA,"152.9, C17.9"
43,oncology|GU tumors|renal cell CA,"189.0, C64.9"
44,oncology|GU tumors|testicular CA,"186.9, C62.90"
45,surgery|infections|sepsis|severe,"995.92, R65.20"
46,surgery|renal issues|hypokalemia,"276.8, E87.6"
47,surgery|respiratory failure|ARDS,"518.81, J80"
48,endocrine|thyroid|hyperthyroidism,"242.90, E05.90"
49,hematology|platelet disorders|TTP,"446.6, M31.1"
50,neurologic|misc|headache|migraine,"346.00, G43.9"
51,oncology|GI tumors|colon CA|cecum,"153.4, C18.0"
52,oncology|GI tumors|gallbladder CA,"156.9, C24.9"
53,pulmonary|trauma|lung trauma|left,"861.20, S27.30"
54,renal|fluid imbalance|dehydration,"276.51, E86.0"
55,renal|fluid imbalance|hypovolemia,"276.52, E86.1"
56,surgery|infections|pelvic abscess,"567.22, K65.1"
