,drugname,routeadmin,count
0,1000 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IV,30118
1,POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,PO,26966
2,SODIUM CHLORIDE 0.9 % IV : 1000 ML,IV,23899
3,NaCl 0.9% MBP,MISC,22657
4,SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,20402
5,ZOFRAN,IV,19919
6,ACETAMINOPHEN 325 MG PO TABS,PO,19777
7,1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,Intravenous,19716
8,NOVOLOG,subCUT,19156
9,ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IV Push,18748
10,DEXTROSE 50%-WATER,INTRAVENOU,18298
11,GLUCOSE 15 GRAM/60 ML BQ LIQ,PO,17988
12,MAGNESIUM SULFATE 2 GM/50 ML IVPB,IVPB,17929
13,potassium CHLORIDE 20 mEq in,IVPB,17574
14,potassium CHLORIDE 20 MEQ TR TAB,PO,17451
15,SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,IV,17425
16,100 ML  -  POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,IV,16792
17,INSULIN-LISPRO (rDNA) *UNIT* INJ,SubQ,15295
18,acetaMINOPHEN 325 MG TAB,PO,14926
19,POTASSIUM CHLORIDE 20 MEQ PO PACK,PER NG TUBE,14754
20,PANTOPRAZOLE SODIUM 40 MG IV SOLR,IV,14745
21,PANTOPRAZOLE SODIUM 40 MG PO TBEC,PO,14618
22,"Sodium Chloride 0.9% 1,000 ML BAG",IV,14508
23,LASIX,IV,14392
24,2 ML VIAL : ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,14288
25,Dextrose 50%,IV,13564
26,MORPHINE 2 MG/1 ML 1 ML SYR,IV Push,13528
27,ACETAMINOPHEN,ORAL,13471
28,ASPART insulin,MISC,13466
29,NARCAN,IV,12679
30,SUBLIMAZE,IV,12655
31,PERCOCET 5/325 TAB,PO,12324
32,SODIUM CHLORIDE 0.9 % IV SOLP,IV,12070
33,1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,IV,12048
34,fentaNYL citrate (PF),INTRAVENOU,11909
35,3 ML VIAL : INSULIN LISPRO (HUMAN) 100 UNIT/ML SC SOLN,SC,11876
36,potassium chloride,PO,11846
37,SODIUM CHLORIDE 0.9%,IV,11490
38,473 ML  -  CHLORHEXIDINE GLUCONATE 0.12 % MT SOLN,SWISH,11418
39,1000 ML FLEX CONT: SODIUM CHLORIDE 0.9 % IV SOLN,IV,11268
40,fentaNYL (PF) 50 MCG/1 ML 2 ML INJ,IV Push,11228
41,TYLENOL,Oral,11215
42,GLUCAGON 1 MG (1 UNIT) INJ,SubQ,11169
43,50 ML SYRINGE : DEXTROSE 50 % IV SOLN,IV,10375
44,METOPROLOL TARTRATE 25 MG PO TABS,PO,10361
45,fentaNYL,IV,10359
46,MAGNESIUM SULF 2 G/50 ML NS,INTRAVENOU,10342
47,500 ML  -  SODIUM CHLORIDE 0.9 % IV SOLN,IV,10285
48,FUROSEMIDE,IV,10193
49,propofol,MISC,9869
50,D50,IV,9823
51,BISACODYL 10 MG RE SUPP,RE,9775
52,DEXTROSE 50% 25 GRAM/50 ML SYR,IV Push,9427
53,ONDANSETRON HCL 4 MG/2ML IJ SOLN,IV,9247
54,ACETAMINOPHEN,PO,9235
55,DILAUDID,IV,9164
56,NITROGLYCERIN 0.4 MG SL SUBL,SL,9046
57,4 ML  -  FUROSEMIDE 10 MG/ML IJ SOLN,IV,9005
58,37.5 G TUBE : GLUCOSE 40 % PO GEL,PO,8944
59,MAGNESIUM OXIDE 400 MG TAB,PO,8833
60,ATIVAN,IV,8814
61,DEXTROSE 50%,IV,8800
62,LOVENOX,subCUT,8757
63,DUONEB,Inhalation,8706
64,INSULIN-GLARGINE *UNIT* INJ,SubQ,8686
65,MAGNESIUM SULFATE 2 G IN NS PREMIX,IV,8551
66,GLUCAGEN,IM,8449
67,SODIUM CHLORIDE 0.9% 250 ML LVP,IV,8342
68,1000 ML  -  DEXTROSE 5 % IV SOLN,IV,8315
69,MORPHINE 4 MG/1 ML 1 ML SYR,IV Push,8207
70,NORCO,Oral,8187
71,NSS infusion,IV,8108
72,Lasix,IV,8049
73,ONDANSETRON HCL (PF) 4 MG/2 ML INJ SOLN,IV,8010
74,MORPHINE INJ,IV,7949
75,SODIUM CHLORIDE 0.9% 1000 ML PB,IV,7895
76,potassium CHLORIDE 20 MEQ UD LIQ,PO,7840
77,1 ML  -  HYDROMORPHONE HCL 1 MG/ML IJ SOLN,IV,7806
78,FUROSEMIDE,INTRAVENOU,7719
79,GLUCAGON HCL (RDNA) 1 MG IJ SOLR,IM,7652
80,2 ML  -  FENTANYL CITRATE 0.05 MG/ML IJ SOLN,IV,7636
81,3 ML  -  IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,7610
82,SODIUM CHLORIDE 0.9%,INTRAVENOU,7603
83,SENOKOT-S TAB,PO,7590
84,Zofran,IV,7582
85,METOPROLOL TARTRATE 25 MG TAB,PO,7545
86,2 ML : ONDANSETRON HCL 4 MG/2ML IV SOLN,Intravenous,7476
87,HYDROCODONE-ACETAMINOPHEN 5-325 MG PO TABS,PO,7441
88,100 ML  -  MAGNESIUM SULFATE IN D5W 10-5 MG/ML-% IV SOLN,IV,7367
89,SENNOSIDES-DOCUSATE SODIUM 8.6-50 MG PO TABS,PO,7308
90,ASPIRIN 81 MG PO CHEW,PO,7107
91,1 ML  -  HYDRALAZINE HCL 20 MG/ML IJ SOLN,IV,7099
92,MIDAZOLAM,INTRAVENOU,7047
93,acetaMINOPHEN 650MG RECT SUPP,PR,6973
94,3 ML PLAS CONT: IPRATROPIUM-ALBUTEROL 0.5-2.5 (3) MG/3ML IN SOLN,NEBULIZATION,6957
95,PEPCID,IV,6861
96,FENTANYL CITRATE (PF) 50 MCG/ML INJ SOLN,IV,6823
97,VANCOMYCIN HCL 1000 MG IV SOLR,IV,6818
98,MORPHINE SULFATE,IV,6812
99,LORAZEPAM,IV,6756
100,1000 ml flex cont : sodium chloride 0.9 % iv soln,IV,6741
101,SODIUM CHLORIDE 0.9 % IJ SOLN,IV,6675
102,FAMOTIDINE 20 MG/2 ML SDV INJ,IV Push,6624
103,POTASSIUM CHLORIDE,PO,6546
104,INSULIN (REGULAR) 100 UNITS in 1,IVPB,6509
105,ENOXAPARIN 40 MG/0.4 ML SYR,SubQ,6501
106,cefepime,MISC,6473
107,INSULIN ASPART 100 UNIT/ML SC SOLN,SC,6426
108,ACETAMINOPHEN 325 MG PO TABS,Oral,6407
109,morPHINe,IV,6269
110,"SODIUM CHLORIDE 0.9% 1,000 ML BAG",IV,6243
111,NovoLOG,Subcut,6228
112,albuterol-ipratropium 3-0.5mg,MISC,6142
113,LACTATED RINGERS IV SOLP,IV,6141
114,POLYETHYLENE GLYCOL 3350 UDPWD,PO,6060
115,VERSED,IV,6047
116,500 ML FLEX CONT EXCEL : SODIUM CHLORIDE 0.9 % IV SOLN,IV,6037
117,ACETAMINOPHEN 650 MG RE SUPP,RE,6028
118,DOCUSATE SODIUM,ORAL,6008
119,potassium CHLORIDE 10 mEq i,IVPB,5999
120,OXYCODONE IR,ORAL,5984
121,magnesium sulfate,IVPB,5971
122,FUROSEMIDE 10 MG/1 ML 2ML SDV INJ,IV Push,5960
123,ZOSYN,IV,5900
124,Protonix,IV,5880
