,itemid,label,count,iv_fluid
0,225158,NaCl 0.9%,1258660,1
1,220949,Dextrose 5%,1034251,1
2,225943,Solution,561934,0
3,226452,PO Intake,428008,0
4,222168,Propofol,398015,0
5,221906,Norepinephrine,336000,0
6,225799,Gastric Meds,304801,0
7,223258,Insulin - Regular,284527,0
8,226453,GT Flush,224140,0
9,221744,Fentanyl,202424,0
10,221749,Phenylephrine,193260,0
11,225166,Potassium Chloride,175221,0
12,225975,Heparin Sodium (Prophylaxis),150805,0
13,225798,Vancomycin,122649,0
14,225942,Fentanyl (Concentrate),110978,0
15,221668,Midazolam (Versed),108423,0
16,225828,LR,108282,1
17,221833,Hydromorphone (Dilaudid),100575,0
18,221794,Furosemide (Lasix),99587,0
19,227522,KCL (Bolus),99072,0
20,226089,Piggyback,94194,1
21,223262,Insulin - Humalog,84113,0
22,225152,Heparin Sodium,76397,0
23,222056,Nitroglycerin,76100,0
24,225154,Morphine Sulfate,74707,0
25,222011,Magnesium Sulfate,72559,0
26,225944,Sterile Water,71293,0
27,225797,Free Water,70662,0
28,228315,Acetaminophen-IV,64989,0
29,221456,Calcium Gluconate,61978,0
30,225851,Cefepime,61582,0
31,225893,Piperacillin/Tazobactam (Zosyn),60647,0
32,225974,Metoprolol,58990,0
33,229420,Dexmedetomidine (Precedex),58434,0
34,225910,Pantoprazole (Protonix),57894,0
35,225884,Metronidazole,56718,0
36,225907,Famotidine (Pepcid),56072,0
37,225168,Packed Red Blood Cells,53091,0
38,227523,Magnesium Sulfate (Bolus),51910,0
39,227536,KCl (CRRT),51312,0
40,225150,Dexmedetomidine (Precedex),46090,0
41,225850,Cefazolin,38994,0
42,225883,Meropenem,38172,0
43,221385,Lorazepam (Ativan),37668,0
44,222042,Nicardipine,37307,0
45,227525,Calcium Gluconate (CRRT),34060,0
46,229630,Phenylephrine (50/250),33831,0
47,227526,Citrate,31429,0
48,227529,ACD-A Citrate (1000ml),30733,0
49,221828,Hydralazine,30480,0
50,223260,Insulin - Glargine,30134,0
51,225823,D5 1/2NS,27616,1
52,220864,Albumin 5%,26096,0
53,222315,Vasopressin,25892,0
54,221289,Epinephrine,24470,0
55,225153,Labetalol,23030,0
56,220862,Albumin 25%,22903,0
57,226364,OR Crystalloid Intake,20332,1
58,225936,Replete with Fiber (Full),19894,0
59,228340,Furosemide (Lasix) 250/50,18713,0
60,225855,Ceftriaxone,17725,0
61,225859,Ciprofloxacin,17278,0
62,221662,Dopamine,16892,0
63,228351,Nepro (Full),16694,0
64,220970,Fresh Frozen Plasma,16497,0
65,228316,Levetiracetam (Keppra),15726,0
66,221468,Diltiazem,15713,0
67,226361,Pre-Admission/Non-ICU Intake,15355,1
68,221555,Cisatracurium,15130,0
69,221824,Haloperidol (Haldol),13621,0
70,220952,Dextrose 50%,13411,1
71,229011,Jevity 1.5 (Full),12859,0
72,221429,Esmolol,12771,0
