,drug,ndc,route,count
0,Heparin,63323026201,SC,245905
1,Magnesium Sulfate,00409672924,IV,215074
2,Insulin,00002751001,SC,202834
3,Sodium Chloride 0.9%,00338004904,IV,169910
4,Lactated Ringers,00338011704,IV,159461
5,Insulin,00088222033,SC,156824
6,0.9% Sodium Chloride,00338004904,IV,125224
7,Vancomycin,00338355248,IV,123931
8,Docusate Sodium,00904224461,PO,122530
9,Senna,00904516561,PO/NG,117239
10,Dextrose 50%,00409490234,IV,116556
11,HYDROmorphone (Dilaudid),00409128331,IV,106724
12,0.9% Sodium Chloride,00338004903,IV,96111
13,0.9% Sodium Chloride (Mini Bag Plus),00338055318,IV,94297
14,Bisacodyl,00574705050,PR,94269
15,Acetaminophen,51079000220,PO/NG,90154
16,Metoprolol Tartrate,51079025520,PO/NG,84776
17,Docusate Sodium,00904224461,PO/NG,84579
18,Glucagon,55390000401,IM,83762
19,OxycoDONE (Immediate Release) ,00406055262,PO/NG,83519
20,Ondansetron,00781305714,IV,77526
21,Potassium Chloride,00338070341,IV,74776
22,0.9% Sodium Chloride,00338004902,IV,74764
23,Glucose Gel,38396055018,PO,74018
24,Acetaminophen,00904198861,PO/NG,72276
25,Furosemide,00517570425,IV,67635
26,Acetaminophen IV,43825010201,IV,67281
27,D5 1/2NS,00338008504,IV,66055
28,Potassium Chloride,66758016013,PO,63791
29,0.9% Sodium Chloride,00338004938,IV,63116
30,Bisacodyl,00536338101,PO,61333
31,Aspirin,00904404073,PO/NG,60886
32,Polyethylene Glycol,11523726808,PO/NG,60578
33,Lorazepam,00409198530,IV,59733
34,Potassium Chloride,00245004101,PO,59678
35,Acetaminophen,00904198261,PO/NG,57792
36,Insulin,00002821501,SC,56546
37,Albuterol 0.083% Neb Soln,49502069724,IH,55251
38,Furosemide,00409610204,IV,51743
39,Neutra-Phos,60258000601,PO/NG,50771
40,Heparin Sodium,00264958720,IV,50284
41,Heparin,63323026201,IV,49509
42,Potassium Chloride,58177020211,PO,46674
43,Senna,00904516561,PO,46190
44,Pantoprazole,00008084199,PO,46186
45,Ondansetron,00641607825,IV,46083
46,Calcium Gluconate,61553008348,IV,44772
47,LR,00338011704,IV,44175
48,Acetaminophen,00182844789,PO,43599
49,Potassium Chloride,00409665305,IV,43590
50,Heparin Flush (10 units/ml),08290036005,IV,43476
51,Potassium Chloride,00456066270,PO,41428
52,HYDROmorphone (Dilaudid),00409131230,IV,40405
53,Senna,00904652261,PO/NG,40275
54,Calcium Carbonate,66553000401,PO/NG,39074
55,Potassium Chloride,00338070948,IV,38511
56,Calcium Gluconate,61553005148,IV,37878
57,Potassium Chl 20 mEq / 1000 mL D5 1/2 NS,00338067104,IV,37667
58,Insulin,00002831501,SC,36937
59,Morphine Sulfate,00409176230,IV,35926
60,Warfarin,00056016975,PO/NG,35262
61,Ipratropium Bromide Neb,00487980125,IH,35145
62,Multivitamins,00904053061,PO/NG,34566
63,Warfarin,00056017275,PO/NG,32896
64,Furosemide,00409610202,IV,32454
65,OxyCODONE (Immediate Release),00904644461,PO/NG,32436
66,Omeprazole,00904568461,PO,32340
67,0.9% Sodium Chloride,00338004938,IV DRIP,32150
68,Magnesium Sulfate,63323010605,IV,31968
69,Furosemide,51079007220,PO/NG,30424
70,Ondansetron,00641608025,IV,30417
71,Warfarin,00056017075,PO/NG,30195
72,Calcium Carbonate,66553000401,PO,29847
73,5% Dextrose,00338001702,IV,29649
74,Morphine Sulfate,00409189001,IV,29646
75,Milk of Magnesia,00121043130,PO,29383
76,CefePIME,60505068104,IV,28418
77,Potassium Chloride Replacement (Critical Care and Oncology) ,66758016013,PO,27981
78,Magnesium Sulfate,00409672923,IV,27751
79,Propofol,63323026965,IV DRIP,27398
80,Potassium Phosphate,00409729501,IV,27230
81,5% Dextrose,00338001731,IV,26806
82,Magnesium Oxide,63739035410,PO/NG,26643
83,Piperacillin-Tazobactam,00206886202,IV,26433
84,Metoprolol Tartrate,51079025520,PO,26191
85,Acetaminophen,00904198861,PO,25893
86,LORazepam,00409198530,IV,25611
87,Vancomycin,00409433201,IV,25268
88,Pantoprazole,00008092355,IV,25205
89,5% Dextrose,00338001702,IV DRIP,25187
90,Docusate Sodium,00904645561,PO/NG,24778
91,Acetaminophen,51079000220,PO,24675
92,OxycoDONE (Immediate Release) ,00406055262,PO,24636
93,Famotidine,00338519741,IV,24428
94,Heparin Sodium,00409779362,IV,24056
95,OxyCODONE (Immediate Release),00406055262,PO/NG,23983
96,Amlodipine,51079045120,PO/NG,23964
97,Influenza Vaccine Quadrivalent,49281041688,IM,23898
98,Glucagon,00597026010,IM,23848
99,Zolpidem Tartrate,60505260400,PO,23527
100,Omeprazole,00093521193,PO,23230
101,Multivitamins,00904053061,PO,22963
102,Ibuprofen,00904585461,PO,22501
103,Calcium Gluconate,63323031119,IV,22347
104,Sodium Bicarbonate,00409662502,IV,22264
105,Ipratropium-Albuterol Neb,00487020101,NEB,21894
106,Chlorhexidine Gluconate 0.12% Oral Rinse,54569523500,ORAL,21875
107,Potassium Chloride,76439034310,PO,21834
108,HYDROmorphone (Dilaudid),00054839224,PO/NG,21784
109,Ciprofloxacin HCl,68084007001,PO/NG,21630
110,5% Dextrose,00338001704,IV,21603
