db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,78.638,,0.68
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,73.92,,0.675
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,75.144,,0.665
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,119.187,,0.69
MIMIC-IV,anthropic.claude-v2:1,0.2,0,1,False,178.296,,0.69
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,119.977,,0.7
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,62.685,,0.685
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,61.517,,0.68
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,58.567,,0.68
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,89.94,,0.655
MIMIC-IV,gpt-3.5-turbo,0.2,0,1,False,95.857,,0.675
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,118.3,,0.69
MIMIC-IV,gpt-4o,0.0,0,1,False,101.056,,0.73
MIMIC-IV,gpt-4o,0.2,0,1,False,113.891,,0.725
MIMIC-IV,gpt-4o,0.5,0,1,False,98.71,,0.73
