db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,70.993,,0.68
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,70.124,,0.68
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,69.127,,0.675
eICU-CRD,anthropic.claude-v2:1,0.0,0,1,False,113.057,,0.695
eICU-CRD,anthropic.claude-v2:1,0.2,0,1,False,131.163,,0.695
eICU-CRD,anthropic.claude-v2:1,0.5,0,1,False,115.233,,0.7
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,66.935,,0.655
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,66.372,,0.65
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,76.061,,0.65
eICU-CRD,gpt-3.5-turbo,0.0,0,1,False,93.272,,0.65
eICU-CRD,gpt-3.5-turbo,0.2,0,1,False,91.91,,0.665
eICU-CRD,gpt-3.5-turbo,0.5,0,1,False,92.901,,0.62
eICU-CRD,gpt-4o,0.0,0,1,False,98.676,,0.72
eICU-CRD,gpt-4o,0.2,0,1,False,106.267,,0.72
eICU-CRD,gpt-4o,0.5,0,1,False,109.773,,0.715
