db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,122.443,,0.67
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,108.533,,0.67
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,102.684,,0.67
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,143.818,,0.5
MIMIC-IV,anthropic.claude-v2:1,0.2,0,1,False,117.502,,0.5
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,125.991,,0.515
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,56.027,,0.66
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,59.62,,0.66
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,59.626,,0.64
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,104.004,,0.475
MIMIC-IV,gpt-3.5-turbo,0.2,0,1,False,87.479,,0.48
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,85.061,,0.5
MIMIC-IV,gpt-4o,0.0,0,1,False,98.826,,0.745
MIMIC-IV,gpt-4o,0.2,0,1,False,104.951,,0.725
MIMIC-IV,gpt-4o,0.5,0,1,False,90.313,,0.71
