db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,176.971,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,152.831,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,159.662,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,74.72,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,68.766,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,70.533,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,43.776,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,40.718,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,40.23,,0.965,0.667,1.0,0.8,0.963,0.982
MIMIC-IV,gpt-3.5-turbo,0.0,10,1,False,75.633,,0.187,0.047,1.0,0.09,0.153,0.576
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,77.127,,0.212,0.049,1.0,0.093,0.179,0.589
MIMIC-IV,gpt-3.5-turbo,0.5,10,1,False,74.765,,0.177,0.047,1.0,0.089,0.142,0.571
MIMIC-IV,gpt-4o,0.0,10,1,False,79.561,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,gpt-4o,0.2,10,1,False,91.842,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,gpt-4o,0.5,10,1,False,96.804,,1.0,1.0,1.0,1.0,1.0,1.0
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,181.77,,1.0,1.0,1.0,1.0,1.0,1.0
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,239.458,,1.0,1.0,1.0,1.0,1.0,1.0
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,240.061,,1.0,1.0,1.0,1.0,1.0,1.0
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,75.463,,0.985,0.625,1.0,0.769,0.985,0.992
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,68.328,,0.985,0.625,1.0,0.769,0.985,0.992
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,63.286,,0.98,0.556,1.0,0.714,0.979,0.99
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,46.229,,0.9,0.208,1.0,0.345,0.897,0.949
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,41.772,,0.9,0.208,1.0,0.345,0.897,0.949
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,43.101,,0.89,0.2,1.0,0.333,0.887,0.944
eICU-CRD,gpt-3.5-turbo,0.0,10,1,False,77.59,,0.085,0.027,1.0,0.052,0.062,0.531
eICU-CRD,gpt-3.5-turbo,0.2,10,1,False,81.534,,0.095,0.027,1.0,0.052,0.072,0.536
eICU-CRD,gpt-3.5-turbo,0.5,10,1,False,75.934,,0.08,0.026,1.0,0.052,0.056,0.528
eICU-CRD,gpt-4o,0.0,10,1,False,91.206,,1.0,1.0,1.0,1.0,1.0,1.0
eICU-CRD,gpt-4o,0.2,10,1,False,112.96,,1.0,1.0,1.0,1.0,1.0,1.0
eICU-CRD,gpt-4o,0.5,10,1,False,84.144,,1.0,1.0,1.0,1.0,1.0,1.0
