db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,71.423,,0.98,0.765,1.0,0.867,0.978,0.989
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,60.154,,0.985,0.812,1.0,0.897,0.984,0.992
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,55.389,,0.98,0.765,1.0,0.867,0.978,0.989
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,129.746,,0.934,,0.0,,1.0,0.5
MIMIC-IV,anthropic.claude-v2:1,0.2,0,1,False,120.212,,0.939,1.0,0.077,0.143,1.0,0.538
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,125.846,,0.944,1.0,0.154,0.267,1.0,0.577
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,39.607,,0.985,0.812,1.0,0.897,0.984,0.992
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,35.548,,0.99,0.867,1.0,0.929,0.989,0.995
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,34.585,,0.99,0.867,1.0,0.929,0.989,0.995
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,78.055,,0.812,0.26,1.0,0.413,0.799,0.899
MIMIC-IV,gpt-3.5-turbo,0.2,0,1,False,74.505,,0.797,0.245,1.0,0.394,0.783,0.891
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,71.469,,0.777,0.228,1.0,0.371,0.761,0.88
MIMIC-IV,gpt-4o,0.0,0,1,False,105.172,,0.99,0.923,0.923,0.923,0.995,0.959
MIMIC-IV,gpt-4o,0.2,0,1,False,99.625,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,gpt-4o,0.5,0,1,False,123.735,,0.99,0.923,0.923,0.923,0.995,0.959
