db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,170.962,,0.883,0.425,1.0,0.596,0.872,0.936
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,152.424,,0.878,0.415,1.0,0.586,0.867,0.933
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,143.991,,0.873,0.405,1.0,0.576,0.861,0.931
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,60.312,,0.919,0.515,1.0,0.68,0.911,0.956
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,58.743,,0.914,0.5,1.0,0.667,0.906,0.953
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,54.878,,0.909,0.486,1.0,0.654,0.9,0.95
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,43.028,,0.802,0.309,1.0,0.472,0.783,0.892
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,41.843,,0.792,0.298,1.0,0.459,0.772,0.886
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,40.409,,0.792,0.304,1.0,0.466,0.772,0.886
MIMIC-IV,gpt-3.5-turbo,0.0,10,1,False,78.588,,0.086,0.086,1.0,0.159,0.0,0.5
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,84.229,,0.086,0.086,1.0,0.159,0.0,0.5
MIMIC-IV,gpt-3.5-turbo,0.5,10,1,False,77.807,,0.086,0.086,1.0,0.159,0.0,0.5
MIMIC-IV,gpt-4o,0.0,10,1,False,101.439,,0.97,0.739,1.0,0.85,0.967,0.983
MIMIC-IV,gpt-4o,0.2,10,1,False,138.741,,0.959,0.68,1.0,0.81,0.956,0.978
MIMIC-IV,gpt-4o,0.5,10,1,False,149.323,,0.97,0.739,1.0,0.85,0.967,0.983
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,147.787,,0.87,0.48,1.0,0.649,0.852,0.926
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,155.365,,0.875,0.49,1.0,0.658,0.858,0.929
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,152.652,,0.875,0.49,1.0,0.658,0.858,0.929
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,60.966,,0.96,0.75,1.0,0.857,0.955,0.977
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,58.84,,0.945,0.686,1.0,0.814,0.938,0.969
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,57.221,,0.955,0.727,1.0,0.842,0.949,0.974
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,43.764,,0.72,0.3,1.0,0.462,0.682,0.841
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,42.144,,0.725,0.304,1.0,0.466,0.688,0.844
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,39.697,,0.71,0.304,1.0,0.466,0.67,0.835
eICU-CRD,gpt-3.5-turbo,0.0,10,1,False,81.393,,0.12,0.12,1.0,0.214,0.0,0.5
eICU-CRD,gpt-3.5-turbo,0.2,10,1,False,83.33,,0.12,0.12,1.0,0.214,0.0,0.5
eICU-CRD,gpt-3.5-turbo,0.5,10,1,False,80.221,,0.12,0.12,1.0,0.214,0.0,0.5
eICU-CRD,gpt-4o,0.0,10,1,False,95.264,,0.98,0.857,1.0,0.923,0.977,0.989
eICU-CRD,gpt-4o,0.2,10,1,False,154.513,,0.98,0.857,1.0,0.923,0.977,0.989
eICU-CRD,gpt-4o,0.5,10,1,False,154.615,,0.965,0.774,1.0,0.873,0.96,0.98
