db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,169.598,,0.975,0.84,0.955,0.894,0.977,0.966
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,165.58,,0.975,0.84,0.955,0.894,0.977,0.966
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,152.884,,0.97,0.808,0.955,0.875,0.971,0.963
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,62.305,,0.873,0.468,1.0,0.638,0.857,0.929
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,55.904,,0.868,0.458,1.0,0.629,0.851,0.926
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,55.015,,0.863,0.449,1.0,0.62,0.846,0.923
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,46.442,,0.574,0.244,1.0,0.393,0.526,0.763
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,42.798,,0.558,0.241,1.0,0.389,0.509,0.754
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,41.775,,0.528,0.235,1.0,0.381,0.48,0.74
MIMIC-IV,gpt-3.5-turbo,0.0,10,1,False,80.735,,0.112,0.112,1.0,0.201,0.0,0.5
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,82.243,,0.112,0.112,1.0,0.201,0.0,0.5
MIMIC-IV,gpt-3.5-turbo,0.5,10,1,False,82.94,,0.112,0.112,1.0,0.201,0.0,0.5
MIMIC-IV,gpt-4o,0.0,10,1,False,100.539,,0.995,0.957,1.0,0.978,0.994,0.997
MIMIC-IV,gpt-4o,0.2,10,1,False,159.735,,0.995,0.957,1.0,0.978,0.994,0.997
MIMIC-IV,gpt-4o,0.5,10,1,False,160.251,,0.995,0.957,1.0,0.978,0.994,0.997
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.0,10,1,False,186.945,,0.945,0.718,1.0,0.836,0.936,0.968
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,185.126,,0.94,0.7,1.0,0.824,0.93,0.965
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.5,10,1,False,176.625,,0.935,0.683,1.0,0.812,0.924,0.962
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.0,10,1,False,61.897,,0.825,0.444,1.0,0.615,0.797,0.898
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,55.522,,0.825,0.444,1.0,0.615,0.797,0.898
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.5,10,1,False,59.283,,0.83,0.452,1.0,0.622,0.802,0.901
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.0,10,1,False,49.054,,0.46,0.243,1.0,0.392,0.372,0.686
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,50.45,,0.425,0.243,1.0,0.392,0.331,0.666
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.5,10,1,False,45.785,,0.46,0.239,1.0,0.386,0.372,0.686
eICU-CRD,gpt-3.5-turbo,0.0,10,1,False,82.944,,0.145,0.141,1.0,0.247,0.006,0.503
eICU-CRD,gpt-3.5-turbo,0.2,10,1,False,85.36,,0.145,0.141,1.0,0.247,0.006,0.503
eICU-CRD,gpt-3.5-turbo,0.5,10,1,False,82.619,,0.14,0.14,1.0,0.246,0.0,0.5
eICU-CRD,gpt-4o,0.0,10,1,False,106.741,,0.98,0.9,0.964,0.931,0.983,0.973
eICU-CRD,gpt-4o,0.2,10,1,False,164.632,,0.98,0.9,0.964,0.931,0.983,0.973
eICU-CRD,gpt-4o,0.5,10,1,False,165.828,,0.98,0.9,0.964,0.931,0.983,0.973
