db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,115.342,,0.965,0.632,1.0,0.774,0.963,0.981
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,107.633,,0.965,0.632,1.0,0.774,0.963,0.981
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,99.836,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,107.865,,0.965,0.647,0.917,0.759,0.968,0.942
MIMIC-IV,anthropic.claude-v2:1,0.2,0,1,False,115.555,,0.965,0.647,0.917,0.759,0.968,0.942
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,117.453,,0.97,0.688,0.917,0.786,0.973,0.945
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,39.556,,0.965,0.632,1.0,0.774,0.963,0.981
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,35.466,,0.965,0.632,1.0,0.774,0.963,0.981
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,34.885,,0.965,0.632,1.0,0.774,0.963,0.981
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,69.051,,0.39,0.09,1.0,0.164,0.351,0.676
MIMIC-IV,gpt-3.5-turbo,0.2,0,1,False,78.047,,0.355,0.085,1.0,0.157,0.314,0.657
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,81.261,,0.42,0.094,1.0,0.171,0.383,0.691
MIMIC-IV,gpt-4o,0.0,0,1,False,90.945,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.2,0,1,False,86.709,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.5,0,1,False,87.689,,0.97,0.667,1.0,0.8,0.968,0.984
