db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,73.649,,0.97
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,333.932,0.997,0.97
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,66.477,,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,326.966,1.0,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,60.247,,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,325.96,0.998,0.944
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,58.11,,0.5
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,321.108,0.996,0.505
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,66.308,,0.667
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,325.128,0.996,0.667
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,68.931,,0.955
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,343.735,1.0,0.955
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,66.972,,0.92
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,333.717,0.996,0.925
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,69.031,,0.935
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,334.309,0.998,0.935
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,67.274,,0.465
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,321.826,0.99,0.47
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,63.014,,0.93
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,331.05,0.998,0.93
