db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,66.115,,0.914,0.5,1.0,0.667,0.906,0.953
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,317.776,0.996,0.919,0.515,1.0,0.68,0.911,0.956
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,59.043,,0.863,0.386,1.0,0.557,0.85,0.925
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,302.938,0.997,0.868,0.395,1.0,0.567,0.856,0.928
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,60.297,,0.858,0.378,1.0,0.548,0.844,0.922
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,304.343,0.997,0.858,0.378,1.0,0.548,0.844,0.922
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,55.094,,0.838,0.347,1.0,0.515,0.822,0.911
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,279.589,0.988,0.843,0.354,1.0,0.523,0.828,0.914
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,56.06,,0.787,0.288,1.0,0.447,0.767,0.883
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,263.903,0.981,0.777,0.279,1.0,0.436,0.756,0.878
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,61.557,,0.96,0.75,1.0,0.857,0.955,0.977
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,303.839,0.994,0.955,0.727,1.0,0.842,0.949,0.974
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,54.623,,0.785,0.358,1.0,0.527,0.756,0.878
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,294.067,0.995,0.785,0.358,1.0,0.527,0.756,0.878
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,59.585,,0.76,0.333,1.0,0.5,0.727,0.864
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,299.321,0.983,0.77,0.343,1.0,0.511,0.739,0.869
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,55.397,,0.775,0.348,1.0,0.516,0.744,0.872
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,300.41,0.993,0.775,0.348,1.0,0.516,0.744,0.872
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,56.428,,0.695,0.282,1.0,0.44,0.653,0.827
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,285.849,0.992,0.72,0.3,1.0,0.462,0.682,0.841
