db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,80.716,,0.97,0.571,1.0,0.727,0.968,0.984
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,369.171,0.992,0.975,0.615,1.0,0.762,0.974,0.987
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,78.63,,0.944,0.421,1.0,0.593,0.942,0.971
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,365.663,0.986,0.944,0.421,1.0,0.593,0.942,0.971
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,64.829,,0.888,0.267,1.0,0.421,0.884,0.942
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,348.883,0.992,0.878,0.25,1.0,0.4,0.873,0.937
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,70.339,,0.929,0.364,1.0,0.533,0.926,0.963
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,348.415,0.991,0.914,0.32,1.0,0.485,0.91,0.955
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,65.94,,0.741,0.136,1.0,0.239,0.73,0.865
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,342.486,0.995,0.746,0.138,1.0,0.242,0.735,0.868
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,77.862,,0.975,0.615,1.0,0.762,0.974,0.987
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,5,False,391.277,0.996,0.975,0.615,1.0,0.762,0.974,0.987
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,74.583,,0.965,0.533,1.0,0.696,0.964,0.982
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,5,False,382.327,0.992,0.965,0.533,1.0,0.696,0.964,0.982
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,71.668,,0.915,0.32,1.0,0.485,0.911,0.956
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,5,False,364.906,0.989,0.92,0.333,1.0,0.5,0.917,0.958
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,73.393,,0.935,0.381,1.0,0.552,0.932,0.966
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,5,False,364.285,0.986,0.94,0.4,1.0,0.571,0.938,0.969
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,67.716,,0.795,0.163,1.0,0.281,0.786,0.893
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,5,False,358.406,0.991,0.8,0.167,1.0,0.286,0.792,0.896
