db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,179.334,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,8,1,False,236.944,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,5,1,False,237.668,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,4,1,False,237.776,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,2,1,False,237.052,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,1,1,False,237.999,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,0,1,False,246.615,,0.985,0.812,1.0,0.897,0.984,0.992
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,54.28,,0.985,0.857,0.923,0.889,0.989,0.956
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,8,1,False,48.934,,0.99,0.923,0.923,0.923,0.995,0.959
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,51.458,,0.985,0.917,0.846,0.88,0.995,0.92
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,4,1,False,53.429,,0.985,0.917,0.846,0.88,0.995,0.92
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,48.211,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,52.143,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,45.706,,0.98,0.765,1.0,0.867,0.978,0.989
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,48.771,,0.884,0.706,0.923,0.8,0.881,0.902
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,8,1,False,43.162,,0.657,0.706,0.923,0.8,0.638,0.78
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,5,1,False,36.863,,0.798,0.765,1.0,0.867,0.784,0.892
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,4,1,False,37.907,,0.98,0.765,1.0,0.867,0.978,0.989
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,2,1,False,37.797,,0.949,0.722,1.0,0.839,0.946,0.973
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,1,1,False,46.853,,0.965,0.765,1.0,0.867,0.962,0.981
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,37.175,,0.939,0.812,1.0,0.897,0.935,0.968
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,74.64,,0.338,0.09,1.0,0.166,0.292,0.646
MIMIC-IV,gpt-3.5-turbo,0.2,8,1,False,77.958,,0.48,0.112,1.0,0.202,0.443,0.722
MIMIC-IV,gpt-3.5-turbo,0.2,5,1,False,73.495,,0.783,0.232,1.0,0.377,0.768,0.884
MIMIC-IV,gpt-3.5-turbo,0.2,4,1,False,69.425,,0.712,0.186,1.0,0.313,0.692,0.846
MIMIC-IV,gpt-3.5-turbo,0.2,2,1,False,75.477,,0.455,0.107,1.0,0.194,0.416,0.708
MIMIC-IV,gpt-3.5-turbo,0.2,1,1,False,72.717,,0.914,0.433,1.0,0.605,0.908,0.954
MIMIC-IV,gpt-3.5-turbo,0.2,0,1,False,70.2,,0.859,0.317,1.0,0.481,0.849,0.924
MIMIC-IV,gpt-4o,0.2,10,1,False,74.96,,0.99,0.923,0.923,0.923,0.995,0.959
MIMIC-IV,gpt-4o,0.2,8,1,False,85.692,,0.985,0.917,0.846,0.88,0.995,0.92
MIMIC-IV,gpt-4o,0.2,5,1,False,89.104,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,gpt-4o,0.2,4,1,False,73.521,,0.99,0.923,0.923,0.923,0.995,0.959
MIMIC-IV,gpt-4o,0.2,2,1,False,80.483,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,gpt-4o,0.2,1,1,False,72.607,,0.995,0.929,1.0,0.963,0.995,0.997
MIMIC-IV,gpt-4o,0.2,0,1,False,76.794,,0.995,0.929,1.0,0.963,0.995,0.997
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,182.562,,0.985,0.7,1.0,0.824,0.984,0.992
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,8,1,False,238.495,,0.98,0.636,1.0,0.778,0.979,0.99
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,5,1,False,240.304,,0.985,0.7,1.0,0.824,0.984,0.992
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,4,1,False,239.374,,0.975,0.583,1.0,0.737,0.974,0.987
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,2,1,False,241.131,,0.975,0.583,1.0,0.737,0.974,0.987
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,1,1,False,238.745,,0.98,0.636,1.0,0.778,0.979,0.99
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,0,1,False,240.177,,0.97,0.538,1.0,0.7,0.969,0.984
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,59.706,,0.985,0.75,0.857,0.8,0.99,0.923
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,8,1,False,50.134,,0.985,0.75,0.857,0.8,0.99,0.923
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,53.269,,0.99,0.778,1.0,0.875,0.99,0.995
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,4,1,False,54.064,,0.985,0.7,1.0,0.824,0.984,0.992
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,51.708,,0.98,0.636,1.0,0.778,0.979,0.99
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,51.753,,0.985,0.7,1.0,0.824,0.984,0.992
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,47.367,,0.955,0.438,1.0,0.609,0.953,0.977
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,44.09,,0.73,0.462,1.0,0.632,0.725,0.863
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,8,1,False,41.282,,0.555,0.353,0.857,0.5,0.544,0.701
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,5,1,False,38.41,,0.745,0.636,1.0,0.778,0.736,0.868
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,4,1,False,35.661,,0.98,0.636,1.0,0.778,0.979,0.99
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,2,1,False,37.921,,0.93,0.5,1.0,0.667,0.927,0.964
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,1,1,False,37.087,,0.95,0.538,1.0,0.7,0.948,0.974
eICU-CRD,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,37.883,,0.865,0.583,1.0,0.737,0.86,0.93
eICU-CRD,gpt-3.5-turbo,0.2,10,1,False,77.674,,0.19,0.041,1.0,0.08,0.161,0.58
