db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,180.48,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,8,1,False,236.405,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,5,1,False,237.264,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,4,1,False,237.504,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,2,1,False,237.517,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,1,1,False,237.227,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,0,1,False,238.031,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,50.429,,0.96,0.6,1.0,0.75,0.957,0.978
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,8,1,False,54.124,,0.96,0.6,1.0,0.75,0.957,0.978
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,51.854,,0.96,0.6,1.0,0.75,0.957,0.978
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,4,1,False,51.968,,0.96,0.6,1.0,0.75,0.957,0.978
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,51.022,,0.965,0.632,1.0,0.774,0.962,0.981
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,49.241,,0.96,0.6,1.0,0.75,0.957,0.978
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,46.967,,0.965,0.632,1.0,0.774,0.962,0.981
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,43.445,,0.939,0.545,1.0,0.706,0.935,0.968
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,8,1,False,40.254,,0.879,0.545,1.0,0.706,0.871,0.935
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,5,1,False,39.845,,0.864,0.522,1.0,0.686,0.855,0.927
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,4,1,False,39.149,,0.864,0.5,1.0,0.667,0.855,0.927
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,2,1,False,37.045,,0.949,0.571,1.0,0.727,0.946,0.973
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,1,1,False,40.767,,0.843,0.545,1.0,0.706,0.833,0.917
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,0,1,False,40.902,,0.843,0.632,1.0,0.774,0.833,0.917
MIMIC-IV,gpt-3.5-turbo,0.2,10,1,False,66.286,,0.389,0.09,1.0,0.166,0.349,0.675
MIMIC-IV,gpt-3.5-turbo,0.2,8,1,False,70.152,,0.167,0.068,1.0,0.127,0.113,0.556
MIMIC-IV,gpt-3.5-turbo,0.2,5,1,False,68.998,,0.551,0.119,1.0,0.212,0.522,0.761
MIMIC-IV,gpt-3.5-turbo,0.2,4,1,False,68.364,,0.838,0.273,1.0,0.429,0.828,0.914
MIMIC-IV,gpt-3.5-turbo,0.2,2,1,False,70.324,,0.394,0.091,1.0,0.167,0.355,0.677
MIMIC-IV,gpt-3.5-turbo,0.2,1,1,False,70.141,,0.778,0.214,1.0,0.353,0.763,0.882
MIMIC-IV,gpt-3.5-turbo,0.2,0,1,False,63.498,,0.808,0.24,1.0,0.387,0.796,0.898
MIMIC-IV,gpt-4o,0.2,10,1,False,70.679,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.2,8,1,False,74.608,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.2,5,1,False,69.259,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.2,4,1,False,73.46,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.2,2,1,False,68.475,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.2,1,1,False,70.581,,0.97,0.667,1.0,0.8,0.968,0.984
MIMIC-IV,gpt-4o,0.2,0,1,False,71.477,,0.97,0.667,1.0,0.8,0.968,0.984
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,180.997,,0.99,0.917,1.0,0.957,0.989,0.994
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,8,1,False,239.964,,0.99,0.917,1.0,0.957,0.989,0.994
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,5,1,False,240.373,,0.99,0.917,1.0,0.957,0.989,0.994
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,4,1,False,239.797,,0.99,0.917,1.0,0.957,0.989,0.994
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,2,1,False,244.847,,0.99,0.917,1.0,0.957,0.989,0.994
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,1,1,False,239.551,,0.99,0.917,1.0,0.957,0.989,0.994
eICU-CRD,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,0,1,False,239.81,,0.99,0.917,1.0,0.957,0.989,0.994
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,52.924,,0.975,0.815,1.0,0.898,0.972,0.986
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,8,1,False,53.634,,0.975,0.815,1.0,0.898,0.972,0.986
eICU-CRD,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,55.007,,0.975,0.815,1.0,0.898,0.972,0.986
