db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,10,1,False,179.335,,0.995,0.889,1.0,0.941,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,8,1,False,237.298,,0.995,0.889,1.0,0.941,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,5,1,False,237.16,,0.995,0.889,1.0,0.941,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,4,1,False,237.542,,0.995,0.889,1.0,0.941,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,2,1,False,238.596,,0.995,0.889,1.0,0.941,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,1,1,False,236.833,,0.995,0.889,1.0,0.941,0.995,0.997
MIMIC-IV,anthropic.claude-3-5-sonnet-20240620-v1:0,0.2,0,1,False,238.123,,0.995,0.889,1.0,0.941,0.995,0.997
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,10,1,False,61.975,,0.965,0.533,1.0,0.696,0.963,0.982
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,8,1,False,58.818,,0.96,0.5,1.0,0.667,0.958,0.979
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,5,1,False,56.826,,0.944,0.421,1.0,0.593,0.942,0.971
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,4,1,False,56.39,,0.929,0.364,1.0,0.533,0.926,0.963
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,2,1,False,56.39,,0.879,0.25,1.0,0.4,0.874,0.937
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,1,1,False,55.537,,0.909,0.308,1.0,0.471,0.905,0.953
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.2,0,1,False,53.405,,0.742,0.136,1.0,0.239,0.732,0.866
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.2,10,1,False,40.592,,0.217,0.057,1.0,0.108,0.184,0.592
