db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,39.02,,0.704
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,37.074,,0.673
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,65.155,,0.704
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,60.229,,0.714
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,33.884,,0.704
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,34.937,,0.704
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,42.386,,0.633
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,46.443,,0.684
MIMIC-IV,gpt-4o,0.0,0,1,False,50.1,,0.745
MIMIC-IV,gpt-4o,0.5,0,1,False,58.251,,0.765
