db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,33.499,,0.755
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,33.81,,0.755
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,44.635,,0.745
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,43.35,,0.755
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,67.897,,0.561
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,82.391,,0.653
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,37.293,,0.622
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,39.496,,0.612
MIMIC-IV,gpt-4o,0.0,0,1,False,44.508,,0.969
MIMIC-IV,gpt-4o,0.5,0,1,False,42.151,,0.969
