db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,25.363,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,25.301,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,51.34,,0.969,1.0,0.25,0.4,1.0,0.625
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,60.049,,0.98,1.0,0.5,0.667,1.0,0.75
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,20.629,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,19.875,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,37.788,,0.735,0.133,1.0,0.235,0.723,0.862
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,36.61,,0.714,0.125,1.0,0.222,0.702,0.851
MIMIC-IV,gpt-4o,0.0,0,1,False,53.501,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,gpt-4o,0.5,0,1,False,50.015,,1.0,1.0,1.0,1.0,1.0,1.0
