db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,42.429,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,34.256,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,56.884,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,61.623,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,20.828,,0.98,0.667,1.0,0.8,0.979,0.989
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,22.131,,0.98,0.667,1.0,0.8,0.979,0.989
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,42.914,,0.592,0.091,1.0,0.167,0.574,0.787
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,42.309,,0.663,0.108,1.0,0.195,0.649,0.824
MIMIC-IV,gpt-4o,0.0,0,1,False,46.537,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,gpt-4o,0.5,0,1,False,50.559,,1.0,1.0,1.0,1.0,1.0,1.0
