db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,23.859,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,24.105,,0.98,0.667,1.0,0.8,0.979,0.989
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,76.371,,0.959,,0.0,,1.0,0.5
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,44.636,,0.959,,0.0,,1.0,0.5
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,20.087,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,21.465,,0.99,0.8,1.0,0.889,0.989,0.995
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,38.881,,0.102,0.043,1.0,0.083,0.064,0.532
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,42.227,,0.173,0.047,1.0,0.09,0.138,0.569
MIMIC-IV,gpt-4o,0.0,0,1,False,45.714,,1.0,1.0,1.0,1.0,1.0,1.0
MIMIC-IV,gpt-4o,0.5,0,1,False,45.116,,1.0,1.0,1.0,1.0,1.0,1.0
