db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,22.274,,0.786,0.364,1.0,0.533,0.756,0.878
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,22.278,,0.765,0.343,1.0,0.511,0.733,0.866
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,41.231,,0.806,0.316,0.5,0.387,0.849,0.674
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,57.897,,0.816,0.333,0.5,0.4,0.86,0.68
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,17.796,,0.918,0.643,0.75,0.692,0.942,0.846
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,18.117,,0.918,0.643,0.75,0.692,0.942,0.846
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,38.79,,0.122,0.122,1.0,0.218,0.0,0.5
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,136.155,,0.122,0.122,1.0,0.218,0.0,0.5
MIMIC-IV,gpt-4o,0.0,0,1,False,44.032,,0.837,0.417,0.833,0.556,0.837,0.835
MIMIC-IV,gpt-4o,0.5,0,1,False,45.577,,0.837,0.417,0.833,0.556,0.837,0.835
