db,model_id,temperature,n_shots,n_attempts,agentic,elapsed_time,consistencies,accuracy_score,precision_score,recall_score,f1_score,specificity_score,balanced_accuracy_score
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.0,0,1,False,22.49,,0.735,0.333,1.0,0.5,0.694,0.847
MIMIC-IV,meta.llama3-70b-instruct-v1:0,0.5,0,1,False,22.231,,0.724,0.325,1.0,0.491,0.682,0.841
MIMIC-IV,anthropic.claude-v2:1,0.0,0,1,False,42.596,,0.806,0.4,0.923,0.558,0.788,0.856
MIMIC-IV,anthropic.claude-v2:1,0.5,0,1,False,51.283,,0.786,0.375,0.923,0.533,0.765,0.844
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.0,0,1,False,18.86,,0.694,0.302,1.0,0.464,0.647,0.824
MIMIC-IV,mistral.mixtral-8x7b-instruct-v0:1,0.5,0,1,False,19.66,,0.694,0.302,1.0,0.464,0.647,0.824
MIMIC-IV,gpt-3.5-turbo,0.0,0,1,False,40.734,,0.184,0.14,1.0,0.245,0.059,0.529
MIMIC-IV,gpt-3.5-turbo,0.5,0,1,False,44.213,,0.224,0.146,1.0,0.255,0.106,0.553
MIMIC-IV,gpt-4o,0.0,0,1,False,47.796,,0.959,0.765,1.0,0.867,0.953,0.976
MIMIC-IV,gpt-4o,0.5,0,1,False,41.696,,0.949,0.722,1.0,0.839,0.941,0.971
