routeadmin,generic_route,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,the route [po] would be classified,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
MISC,other,i am ready to assist you. please,i am ready to assist. please provide,im ready to help. please provide,other,other,other
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,the route [po] would be classified,the route [po] would be classified,"for the route name [po], the",oral product,oral product,oral product
Intravenous,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
subCUT,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV Push,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
INTRAVENOU,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,the route [po] would be classified,oral product,oral product,oral product,oral product,oral product
IVPB,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IVPB,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,the route [po] would be classified,the route [po] would be classified,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
SubQ,injectable product,"for the route name [subq],","for the route name [subq],","for the route name [subq],",injectable product,injectable product,injectable product
PO,oral product,the route [po] would be classified,the route [po] would be classified,oral product,oral product,oral product,oral product
PER NG TUBE,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,the route [iv] would be classified,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV Push,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
ORAL,oral product,oral product,oral product,oral product,oral product,oral product,oral product
MISC,injectable product,i am ready to assist you. please,i am ready to assist. please provide,you can classify [misc] as,other,other,other
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,the route [po] would be classified,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
INTRAVENOU,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
SC,injectable product,i am ready to assist you. please,i am ready to assist you. please,i am ready to assist. please provide,injectable product,injectable product,injectable product
PO,oral product,the route [po] would be classified,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
SWISH,oral product,injectable product,injectable product,the route [swish] would be,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV Push,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
Oral,oral product,oral product,oral product,oral product,oral product,oral product,oral product
SubQ,injectable product,"for the route name [subq],",i am ready to assist you. please,"given the route name [subq],",injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,the route [po] would be classified,oral product,oral product,oral product,oral product,oral product
