drug,generic_name,pred_1,pred_2,all_pred_2,consistency_2,pred_3,pred_4,all_pred_4,consistency_4,pred_5,pred_6,all_pred_6,consistency_6,pred_7,pred_8,all_pred_8,consistency_8,pred_9,pred_10,all_pred_10,consistency_10
Heparin,heparin,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0,heparin,heparin,"['heparin', 'heparin', 'heparin', 'heparin', 'heparin']",1.0
Magnesium Sulfate,magnesium sulfate,magnesium sulfate would be classified as m,magnesium sulfate would be classified as magnesium.,"['magnesium sulfate would be classified as magnesium.', 'magnesium sulfate would be classified as magnesium.', 'magnesium sulfate would be classified as magnesium.', 'magnesium', 'magnesium sulfate -> magnesium']",0.6,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate -> magnesium sulfate (no change,"['magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change']",0.4,unsure,magnesium sulfate -> magnesium sulfate (no change,magnesium sulfate -> magnesium sulfate (no change,"['magnesium sulfate -> magnesium sulfate  the generic', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change', 'magnesium sulfate -> magnesium sulfate (no change']",0.8,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
Insulin,insulin,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0
Sodium Chloride 0.9%,normal saline,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Lactated Ringers,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6 mg/ml / sodium lactate 3.1 mg/ml,calcium chloride / potassium chloride / sodium chloride,calcium chloride / potassium chloride / sodium chloride,"['calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride', 'calcium chloride / potassium chloride / sodium chloride']",1.0,the generic name of the drug is sodium,the generic name of the drug is sodium,"['lactated ringers is not a', 'the generic name of the drug is sodium', 'the generic name of the drug is sodium', 'the generic name of the drug is sodium', 'lactated ringers solution is not']",0.6,lactated ringers injection,lactated ringers injection,"['lactated ringers injection', 'lactated ringers injection', 'lactated ringers injection is not', 'lactated ringers injection', 'lactated ringers injection']",0.8,lactated ringers solution is not,lactated ringers injection is not,"['lactated ringers injection is not', 'lactated ringers injection is not', 'lactated ringers solution is not', 'lactated ringers injection is not', 'lactated ringers injection is not']",0.8,lactated ringers injection,lactated ringers injection,"['lactated ringers injection', 'lactated ringers injection', 'lactated ringers injection', 'lactated ringers injection', 'lactated ringers injection']",1.0
Insulin,insulin,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0,insulin,insulin,"['insulin', 'insulin', 'insulin', 'insulin', 'insulin']",1.0
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
Vancomycin,vancomycin,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0,vancomycin,vancomycin,"['vancomycin', 'vancomycin', 'vancomycin', 'vancomycin', 'vancomycin']",1.0
Docusate Sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium,docusate sodium,"['docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium']",1.0,docusate sodium -> docusate,docusate sodium -> docusate,"['docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate', 'docusate sodium -> docusate']",1.0,docusate sodium,docusate sodium,"['docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium', 'docusate sodium']",1.0,docusate,docusate,"['docusate', 'docusate', 'docusate', 'docusate', 'docusate']",1.0
Senna,senna,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0,senna,senna,"['senna', 'senna', 'senna', 'senna', 'senna']",1.0
Dextrose 50%,glucose 500 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
