drugname,generic_name,pred_11,pred_12,all_pred_12,consistency_12,pred_13,pred_14,all_pred_14,consistency_14,pred_15,pred_16,all_pred_16,consistency_16,pred_17,pred_18,all_pred_18,consistency_18,pred_19,pred_20,all_pred_20,consistency_20
1000 ML - SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
SODIUM CHLORIDE 0.9 % IV : 1000 ML,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
NaCl 0.9% MBP,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,the generic name of the drug is sodium,the generic name of the drug is sodium,"['the generic name of the given drug is', 'the generic name of the drug is sodium', 'the generic name of the drug is sodium', 'the generic name of the given drug is', 'the generic name of the drug is sodium']",0.6,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
SODIUM CHLORIDE 0.9% 1000 ML LVP,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
ZOFRAN,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
ACETAMINOPHEN 325 MG PO TABS,acetaminophen,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0,acetaminophen,acetaminophen,"['acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen', 'acetaminophen']",1.0
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
NOVOLOG,insulin aspart,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0,novolog is a brand name for insulin,novolog is a brand name for insulin,"['novolog is a brand name for insulin', 'novolog is a brand name for insulin', 'novolog is a brand name for insulin', 'novolog is a brand name for insulin', 'novolog is a brand name for insulin']",1.0,insulin aspart,insulin aspart,"['insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart', 'insulin aspart']",1.0
ONDANSETRON 2 MG/1 ML 2ML SDV INJ,ondansetron,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0,ondansetron,ondansetron,"['ondansetron', 'ondansetron', 'ondansetron', 'ondansetron', 'ondansetron']",1.0
DEXTROSE 50%-WATER,glucose 500 mg/ml,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
GLUCOSE 15 GRAM/60 ML BQ LIQ,glucose,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,glucose,glucose,"['glucose', 'glucose', 'glucose', 'glucose', 'glucose']",1.0,dextrose,dextrose,"['dextrose', 'dextrose', 'dextrose', 'dextrose', 'dextrose']",1.0
MAGNESIUM SULFATE 2 GM/50 ML IVPB,magnesium sulfate,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0,magnesium sulfate,magnesium sulfate,"['magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate', 'magnesium sulfate']",1.0
potassium CHLORIDE 20 mEq in,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
potassium CHLORIDE 20 MEQ TR TAB,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
SODIUM CHLORIDE 0.9 % SYRINGE : 10 ML SYRINGE,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0,sodium chloride,sodium chloride,"['sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride', 'sodium chloride']",1.0
100 ML - POTASSIUM CHLORIDE 20 MEQ/100ML IV SOLN,potassium chloride,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0,potassium chloride,potassium chloride,"['potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride', 'potassium chloride']",1.0
INSULIN-LISPRO (rDNA) *UNIT* INJ,insulin lispro,insulin lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro']",1.0,insulin lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro']",1.0,insulin lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro']",1.0,insulin lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro']",1.0,insulin lispro,insulin lispro,"['insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro', 'insulin lispro']",1.0
