drug,generic_name,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9,pred_10,pred_11,pred_12,pred_13,pred_14,pred_15,pred_16,pred_17,pred_18,pred_19,pred_20,pred_21,pred_22,pred_23,pred_24,pred_25,pred_26,pred_27,pred_28,pred_29,pred_30,pred_31,pred_32,pred_33,pred_34,pred_35
Heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin,heparin
Magnesium Sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate -> magnesium,magnesium sulfate,magnesium sulfate,magnesium sulfate -> magnesium sulfate  the generic,magnesium sulfate -> magnesium sulfate (no change,magnesium sulfate -> magnesium sulfate (no change,magnesium sulfate,magnesium sulfate,magnesium sulfate,"sure, i can help with that.",magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium,magnesium sulfate,magnesium sulfate,magnesium,magnesium,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium sulfate,magnesium,magnesium
Insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin
Sodium Chloride 0.9%,normal saline,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Lactated Ringers,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6 mg/ml / sodium lactate 3.1 mg/ml,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6,calcium chloride 0.2 mg/ml / potassium chloride 0.3 mg/ml / sodium chloride 6,lactated ringers solution,lactated ringers,lactated ringers,lactated ringers solution,lactated ringers solution,calcium chloride / potassium chloride / sodium chloride,calcium chloride / potassium chloride / sodium chloride,the generic name of the drug is sodium,lactated ringers solution,lactated ringers injection,lactated ringers injection is not,lactated ringers injection,lactated ringers solution,lactated ringers solution,the generic name for [lactated,lactated ringers solution,lactated ringers solution,lactated ringers solution,lactated ringers solution,lactated ringers -> calcium chloride,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers,calcium chloride 0.2 mg,calcium chloride 0.2 mg,lactated ringers,lactated ringers,lactated ringers,lactated ringers,lactated ringers
Insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin,insulin
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,"sure, i can help with that.",vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin,vancomycin
Docusate Sodium,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,docusate sodium,docusate sodium,docusate sodium -> docusate,docusate sodium,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium is the generic,docusate sodium,docusate sodium can be simpl,docusate sodium,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate
Senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,senna,"sure, i can help you with","sure, i can help you with that","sure, i can help with that.",senna,senna,senna,senna,senna,senna,sennosides,senna,senna,senna,senna,senna,senna,senna,senna,senna
Dextrose 50%,glucose 500 mg/ml,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,the generic name for [dext,[dextrose 50,dextrose,dextrose 50%,dextrose 50%,dextrose 50%,dextrose 50,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose,dextrose 500 mg/ml,dextrose 500 mg/ml,dextrose 50%,dextrose 50%,dextrose 50%,dextrose,dextrose
HYDROmorphone (Dilaudid),hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydrocodone,hydrocodone,hydrocodone is not present in the,hydrocodone,hydrocodone,hydrocodone -> hydrocodone,hydrocodone is not present in the,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone,hydromorphone
0.9% Sodium Chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
0.9% Sodium Chloride (Mini Bag Plus),sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
Bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,[bisacodyl] is,[bisacodyl] is,[bisacodyl] is,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl,bisacodyl
Acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
Metoprolol Tartrate,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol tartrate,metoprolol,metoprolol tartrate,metoprolol,metoprolol,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate,metoprolol tartrate becomes,metoprolol tartrate,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol,metoprolol
Docusate Sodium,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate sodium,docusate,docusate sodium -> docusate,docusate sodium -> docusate,docusate sodium,docusate sodium,docusate sodium -> docusate,docusate sodium,docusate,docusate sodium,docusate sodium,docusate sodium,docusate sodium is already a,docusate sodium,docusate sodium can be simpl,docusate sodium,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate,docusate
Glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,the generic name for the drug [,[glucagon] is a,"sure, i can help you with that",glucagon,"sure, i can help with that.","sure, i can help with that.",glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon,glucagon
OxycoDONE (Immediate Release),oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone,oxycodone
Ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
