drugname,generic_name,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
1000 ML - SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride,potassium chloride
SODIUM CHLORIDE 0.9 % IV : 1000 ML,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
NaCl 0.9% MBP,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,the generic name is sodium chloride.,sodium chloride,the generic name for the drug [na,sodium chloride,sodium chloride,the generic name for the drug [na,the generic name for the drug [na,the generic name for the raw drug name,0.9% sodium chlor,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,saline,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
SODIUM CHLORIDE 0.9% 1000 ML LVP,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride,sodium chloride
ZOFRAN,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,zofran is a trade name,zofran is a brand name,zofran is a trade name,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,zofran,zofran,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
ACETAMINOPHEN 325 MG PO TABS,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen,acetaminophen
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride 0.9%,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride 0.,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride,sodium chloride intravenous solution,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride 9 mg/ml,sodium chloride,sodium chloride,sodium chloride 0.9%,sodium chloride
NOVOLOG,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,novolog is a brand name for insulin,insulin aspart,novolog is a rapid-acting,the generic name for the drug [no,novolog is a type of insulin,novolog is a type of insulin,the generic name for the drug [no,novologs generic name is ins,insulin aspart,insulin lispro,insulin lispro,insulin lispro,insulin lispro,novolog,novolog,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart,insulin aspart
ONDANSETRON 2 MG/1 ML 2ML SDV INJ,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron,ondansetron
