routeadmin,generic_route,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],[oral product],[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
MISC,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,[misc] would be,[misc] would be,"[""misc"" would be","[""misc"" would be","[""misc"" would be",[oral product],topical product,i am ready to assist you. please,please provide the raw route name within squared,i am ready to assist you. please,please provide the raw route name within squared,i am ready to assist you. please,i am ready to assist with classifying,oral product,other,other,other,other,other,other,other
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
Intravenous,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
subCUT,injectable product,injectable product,injectable product,injectable product,injectable product,topical product,topical product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,topical product,injectable product,injectable product,injectable product,injectable product,[injectable product],subcut would be,topical product,topical product,injectable product,injectable product,the route name [subcut],injectable product,injectable product,topical product,topical product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV Push,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
INTRAVENOU,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,i am ready to assist you. please,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IVPB,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IVPB,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
SubQ,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,[injectable product],injectable product,[injectable product],injectable product,"for the route name [subq],","for the route name [subq],",injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
PER NG TUBE,oral product,oral product,oral product,oral product,oral product,oral product,oral product,other,oral product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,other   the,other,oral product,oral product,topical product,oral product,topical product,topical product,other,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,injectable product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV Push,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
ORAL,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,[oral product],[oral product],[oral product],[oral product],[oral product],[oral product],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
MISC,injectable product,other,other,other,other,other,other,other,other,other,other,other,other,other,other,[misc] would be,[misc] would be,"[""misc"" would be","[""misc"" would be","[""misc"" would be",[oral product],topical product,i am ready to assist. please provide,i am ready to assist you. please,i am ready to assist you. please,i am ready to assist. please provide,i am ready to help. please provide,oral product,oral product,other,other,other,other,other,other,other
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,``` oral product,"[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
INTRAVENOU,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
SC,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,[sc] would be classified as,"[""sc"" would be classified as","[""sc"" would be classified as",[oral product],[oral product],[oral product],topical product,i am ready to assist you. please,i am ready to assist you. please,i am ready to assist. please provide,i am ready to assist. please provide,i am ready to help. please provide,i am ready to assist. please provide,topical product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
PO,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,"[""po"" would be classified as","[""po"" would be classified as","[""po"" would be classified as",[oral product],[oral product],oral product,[other],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
SWISH,oral product,other,other,other,other,other,other,other,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,topical product,topical product,topical product,topical product,topical product,topical product,topical product,injectable product,injectable product,injectable product,the route name [swish] would,injectable product,topical product,other,oral product,oral product,oral product,oral product,oral product,oral product,oral product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV Push,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
Oral,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,[oral product],[oral product],[oral product],[oral product],oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product,oral product
SubQ,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,[injectable product],injectable product,[injectable product],injectable product,"for the route name [subq],",i am ready to help. please provide,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
IV,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,oral product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product,injectable product
