drugname,routeadmin,antibiotic,pred_36,pred_37,pred_38,pred_39,pred_40,pred_41,pred_42,pred_43,pred_44,pred_45,pred_46,pred_47,pred_48,pred_49,pred_50,pred_51,pred_52,pred_53,pred_54,pred_55,pred_56,pred_57,pred_58,pred_59,pred_60,pred_61,pred_62,pred_63,pred_64,pred_65,pred_66,pred_67,pred_68,pred_69,pred_70
1000 ML - SODIUM CHLORIDE 0.9 % IV SOLN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0. sodium chloride,0,0. sodium chloride,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
POTASSIUM CHLORIDE CRYS ER 20 MEQ PO TBCR,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9 % IV : 1000 ML,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
NaCl 0.9% MBP,MISC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SODIUM CHLORIDE 0.9% 1000 ML LVP,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0
ZOFRAN,IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: z,1,0,0  explanation: z,0  explanation: z,1,1,0,1,1,0,0,0,0,0,0,0,0,0
ACETAMINOPHEN 325 MG PO TABS,PO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1000 ML FLEX CONT : SODIUM CHLORIDE 0.9 % IV SOLN,Intravenous,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0  explanation: the,1,1,1,1,1,1,1,0,0,0,0,0,0,0
NOVOLOG,subCUT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0  explanation: nov,0  explanation: nov,1,1,0,0,1,0,0,0,0,0,0,0,0,0
ONDANSETRON 2 MG/1 ML 2ML SDV INJ,IV Push,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0  explanation: o,0,0  explanation: o,1,1,1,0,1,0,0,0,0,0,0,0,0,0
